Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsion,Total,Anio
2002-09-01,0.0,13512.8666666667,381600.336666667,0.0,0.0,0.0,0.0,209849.758730159,1416.91666666667,177614.801666667,347191.435833333,0.0,46923.9675,0.0,0.0,0.0,49713.5783333334,0.0,0.0,653664.599166666,0.0,1881488.26123016,2002
2002-10-01,0.0,10066.2666666667,320349.206666667,0.0,0.0,0.0,0.0,212932.327777778,1834.91666666667,203097.241666667,381595.195833333,0.0,61834.3775,0.0,0.0,0.0,40876.5783333334,0.0,0.0,653053.269166666,0.0,1885639.38027778,2002
2002-11-01,0.0,16772.0766666667,438764.896666667,0.0,0.0,0.0,0.0,210000.546825397,1552.91666666667,207629.811666667,384334.215833333,0.0,50783.1975,0.0,0.0,0.0,43455.5783333334,0.0,0.0,671401.329166666,0.0,2024694.5693254,2002
2002-12-01,0.0,13946.0666666667,490960.946666667,0.0,0.0,0.0,0.0,223830.396825397,1397.91666666667,199619.271666667,400645.415833333,0.0,55123.2775,0.0,0.0,0.0,52341.5783333334,0.0,0.0,676192.449166666,0.0,2114057.3193254,2002
2003-01-01,0.0,19127.77,459765.4,0.0,0.0,0.0,0.0,213268.978571429,2009.0,193713.62,376516.58,0.0,55260.55,0.0,0.0,0.0,23392.0,0.0,0.0,769843.3,0.0,2112897.19857143,2003
2003-02-01,0.0,34700.38,377181.42,0.0,0.0,0.0,0.0,206815.011904762,1166.0,184354.61,355760.81,0.0,45243.65,0.0,0.0,0.0,61772.0,0.0,0.0,709783.58,0.0,1976777.46190476,2003
2003-03-01,0.0,56138.58,516535.35,0.0,0.0,0.0,0.0,216427.95,2039.0,201443.37,361880.87,0.0,51161.05,0.0,0.0,0.0,94892.0,0.0,0.0,786484.49,0.0,2287002.66,2003
2003-04-01,0.0,47408.44,502634.98,0.0,0.0,0.0,0.0,204403.511904762,1469.0,219004.3125,377395.17,0.0,50488.24,0.0,0.0,0.0,36935.0,0.0,0.0,709626.3875,0.0,2149365.04190476,2003
2003-05-01,0.0,49995.62,565746.99,0.0,0.0,0.0,0.0,216452.752142857,1387.0,200407.18,390624.27,0.0,50951.19,0.0,0.0,0.0,106406.0,0.0,0.0,755982.05,0.0,2337953.05214286,2003
2003-06-01,0.0,37720.89,410520.4,0.0,0.0,0.0,0.0,212069.04047619,1309.0,168327.72,346941.84,0.0,50662.66,0.0,0.0,0.0,61528.0,0.0,0.0,641540.08,0.0,1930619.63047619,2003
2003-07-01,0.0,38616.19,438350.49,0.0,0.0,0.0,0.0,231172.014285714,1662.0,174317.57,377178.84,0.0,59604.95,0.0,0.0,0.0,57764.0,0.0,0.0,631704.12,0.0,2010370.17428571,2003
2003-08-01,0.0,35878.39,464485.57,0.0,0.0,0.0,0.0,222312.707142857,1152.0,171665.05,355682.72,0.0,54601.1,0.0,0.0,0.0,40642.0,0.0,0.0,613428.55,0.0,1959848.08714286,2003
2003-09-01,0.0,41167.35,357778.24,0.0,0.0,0.0,0.0,225703.05,1617.0,174757.95,348659.02,0.0,52876.98,0.0,0.0,0.0,61611.6,0.0,0.0,582989.47,0.0,1847160.66,2003
2003-10-01,0.0,32848.56,614187.67,0.0,0.0,0.0,0.0,239665.042857143,1115.0,209314.45,392041.78,0.0,54999.76,0.0,0.0,0.0,52466.0,0.0,0.0,722763.6,0.0,2319401.86285714,2003
2003-11-01,0.0,38513.22,697861.8,0.0,0.0,0.0,0.0,229612.354761905,612.0,168510.0,330640.23,0.0,56216.77,0.0,0.0,0.0,65943.03,0.0,0.0,639828.39,0.0,2227737.7947619,2003
2003-12-01,0.0,31050.77,340583.67,0.0,0.0,0.0,0.0,247544.638095238,903.0,196081.99,391327.66,0.0,61415.1,0.0,0.0,0.0,58499.66,0.0,0.0,652872.45,0.0,1980278.93809524,2003
2004-01-01,0.0,31681.4,430693.77,0.0,0.0,0.0,0.0,235284.965714286,1295.0,203975.57,381547.72,0.0,54764.8,0.0,0.0,83419.985,87146.0,0.0,0.0,656987.4,0.0,2166796.61071429,2004
2004-02-01,0.0,34556.73,381997.15,0.0,0.0,0.0,0.0,213288.683333333,2734.0,180290.24,339576.46,0.0,50279.3,0.0,0.0,40040.0,74043.0,0.0,0.0,659540.43,48278.0,2024623.99333333,2004
2004-03-01,0.0,39057.06,426729.0,0.0,0.0,0.0,0.0,233426.354761905,1238.0,206455.62,379687.46,0.0,57919.1,0.0,0.0,47740.0,59087.0,0.0,0.0,746236.84,113372.0,2310948.4347619,2004
2004-04-01,0.0,41073.0,368839.7,0.0,0.0,0.0,0.0,217530.876190476,1124.0,182379.92,357595.81,0.0,59607.6,0.0,0.0,63398.5,34697.0,0.0,0.0,633766.06,146362.0,2106374.46619048,2004
2004-05-01,0.0,31988.71,400866.77,0.0,0.0,0.0,0.0,225959.050238095,968.0,160741.9,322596.73,0.0,60199.1,0.0,0.0,79761.0,52403.0,0.0,0.0,556369.7,176927.0,2068780.96023809,2004
