Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petroleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsion,Petroleo reconstituido,Total,Anio
2005-11-01,0.0,10934.29,425553.13,0.0,0.0,0.0,0.0,127819.833333333,3076.0,266018.37,348687.81,0.0,33635.1,0.0,0.0,150007.0,0.0,0.0,0.0,635553.46,0.0,0.0,0.0,2001284.99333333,2005
2005-12-01,0.0,6643.0,284168.38,0.0,0.0,0.0,0.0,456441.071428571,357.0,107374.0,360807.0,0.0,39994.7,0.0,0.0,147460.5,0.0,0.0,0.0,1212610.53,0.0,325083.0,0.0,2940939.18142857,2005
2006-01-01,0.0,4073.0,311221.28,0.0,0.0,0.0,0.0,461915.80953381,0.0,348503.85,711860.77,0.0,64569.8,0.0,0.0,0.0,0.0,0.0,0.0,708730.84,0.0,312673.0,0.0,2923548.34953381,2006
2006-02-01,0.0,6134.0,121036.31,0.0,0.0,0.0,0.0,139318.215285714,3577.0,145048.2,262170.9,0.0,44797.3,0.0,0.0,0.0,0.0,0.0,0.0,767710.63,0.0,0.0,0.0,1489792.55528571,2006
2006-03-01,0.0,11054.0,429837.61,0.0,0.0,0.0,0.0,385287.405761905,548.0,285783.25,408065.34,0.0,52658.4,0.0,0.0,147746.5,0.0,0.0,0.0,744721.94,0.0,0.0,0.0,2465702.4457619,2006
2006-04-01,0.0,8145.0,287959.04,0.0,0.0,0.0,0.0,317756.142857143,3423.0,238824.61,421300.82,0.0,36823.5,0.0,0.0,151635.0,0.0,0.0,0.0,935306.58,0.0,0.0,0.0,2401173.69285714,2006
2006-05-01,0.0,14644.0,764099.76,0.0,0.0,0.0,0.0,134526.047619048,3615.0,134212.3,312024.7,0.0,72698.3,0.0,0.0,0.0,0.0,0.0,0.0,822556.45,0.0,0.0,0.0,2258376.55761905,2006
2006-06-01,0.0,16453.0,367297.31,0.0,0.0,0.0,0.0,347549.30952381,190.0,211562.74,394014.85,0.0,35949.4,0.0,0.0,151250.0,0.0,0.0,0.0,361207.59,0.0,0.0,0.0,1885474.19952381,2006
2006-07-01,0.0,9178.0,385553.32,0.0,0.0,0.0,0.0,140074.428571429,452.0,180942.18,375951.16,0.0,68151.6,0.0,0.0,150425.0,0.0,0.0,0.0,971716.72,0.0,0.0,0.0,2282444.40857143,2006
2006-08-01,0.0,7880.0,318166.29,0.0,0.0,0.0,0.0,434013.190476191,0.0,147245.49,313326.86,0.0,50939.8,0.0,0.0,0.0,0.0,0.0,0.0,603747.33,0.0,0.0,0.0,1875318.96047619,2006
2006-09-01,0.0,4588.0,461459.78,0.0,0.0,0.0,0.0,457683.238095238,452.0,366193.77,525623.15,0.0,50012.6,0.0,0.0,150349.65,0.0,0.0,0.0,473431.31,0.0,0.0,0.0,2489793.49809524,2006
2006-10-01,0.0,6380.0,446660.88,0.0,0.0,0.0,0.0,130938.666666667,4808.0,153997.35,285505.0,0.0,47546.0,0.0,0.0,145937.825,0.0,0.0,0.0,1220719.64,0.0,0.0,0.0,2442493.36166667,2006
2006-11-01,0.0,10985.0,321841.37,0.0,0.0,0.0,0.0,492063.428571429,381.0,171327.01,428590.5,0.0,31977.4,0.0,0.0,149110.665,0.0,0.0,0.0,431874.86,0.0,0.0,0.0,2038151.23357143,2006
2006-12-01,0.0,5775.0,612637.14,0.0,0.0,0.0,0.0,112912.80952381,1717.0,234319.3,395132.09,0.0,53294.1,0.0,0.0,148978.28,0.0,0.0,0.0,890336.68,0.0,0.0,0.0,2455102.39952381,2006
2007-01-01,0.0,11252.0,419881.17,0.0,0.0,0.0,0.0,308348.523819524,381.0,289550.59,523730.31,0.0,65308.3,0.0,0.0,0.0,0.0,0.0,0.0,818060.57,0.0,0.0,0.0,2436512.46381952,2007
2007-02-01,0.0,10997.0,442208.81,0.0,0.0,0.0,0.0,295082.834333333,3553.0,299077.04,401855.41,0.0,57695.4,0.0,0.0,165044.0,0.0,0.0,0.0,822325.65,0.0,0.0,0.0,2497839.14433333,2007
2007-03-01,0.0,10292.0,676389.41,0.0,0.0,0.0,0.0,399387.215285714,571.0,326317.75,541817.85,0.0,51860.1,0.0,0.0,0.0,0.0,0.0,0.0,569451.85,0.0,0.0,0.0,2576087.17528571,2007
2007-04-01,0.0,11437.0,576702.01,0.0,0.0,0.0,0.0,391790.785714286,2541.0,94844.9,203441.33,0.0,83496.7,0.0,0.0,166886.5,0.0,0.0,0.0,850138.11,0.0,0.0,0.0,2381278.33571429,2007
2007-05-01,0.0,10752.0,390428.07,0.0,0.0,0.0,0.0,132106.595238095,381.0,238404.83,545587.63,0.0,23476.0,0.0,0.0,149550.5,0.0,0.0,0.0,793887.04,0.0,0.0,0.0,2284573.6652381,2007
2007-06-01,0.0,6891.0,635979.48,0.0,0.0,0.0,0.0,553252.047619048,0.0,170064.98,441537.39,0.0,82309.9,0.0,0.0,148676.0,0.0,0.0,0.0,855757.14,0.0,0.0,0.0,2894467.93761905,2007
2007-07-01,0.0,12327.0,746956.76,0.0,0.0,0.0,0.0,153167.785714286,3220.0,227660.47,451180.82,0.0,47604.1,0.0,0.0,152834.0,0.0,0.0,0.0,1118432.25,0.0,0.0,0.0,2913383.18571429,2007
